,question,label
0," He loves to stroll at the park with his bed
Options:
A. A bed is too heavy to carry with when strolling at a park
B. walking at a park is good for health
C. Some beds are big while some are smaller","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  He loves to stroll at the park with his bed
Options:
A. A bed is too heavy to carry with when strolling at a park
B. walking at a park is good for health
C. Some beds are big while some are smaller
Response:  B - Walking in parks has numerous physical and mental benefits, including stress reduction, improved card"
0," The inverter was able to power the continent.
Options:
A. An inverter is smaller than a car
B. An inverter is incapable of powering an entire continent.
C. An inverter is rechargeable.","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  The inverter was able to power the continent.
Options:
A. An inverter is smaller than a car
B. An inverter is incapable of powering an entire continent.
C. An inverter is rechargeable.
Response:  B - It goes Against Common Sense that and Inverter can Power A Whole Continent"
0," The chef put extra lemons on the pizza.
Options:
A. Many types of lemons are to sour to eat.
B. Lemons and pizzas are both usually round.
C. Lemons are not a pizza topping.","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  The chef put extra lemons on the pizza.
Options:
A. Many types of lemons are to sour to eat.
B. Lemons and pizzas are both usually round.
C. Lemons are not a pizza topping.
Response:  C) Lemon's aren’t typically used as an ingredient in traditional Neap"
0," sugar is used to make coffee sour
Options:
A. sugar is white while coffee is brown
B. sugar can dissolve in the coffee
C. sugar usually is used as a sweetener","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  sugar is used to make coffee sour
Options:
A. sugar is white while coffee is brown
B. sugar can dissolve in the coffee
C. sugar usually is used as a sweetener
Response:  C) Sugar typically serves as an enhancer rather than making something taste worse, so option"
0," There are beautiful planes here and there in the garden
Options:
A. A plane flies upon the garden
B. You can have a small garden in your private plane
C. A plane can never be seen in garden","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  There are beautiful planes here and there in the garden
Options:
A. A plane flies upon the garden
B. You can have a small garden in your private plane
C. A plane can never be seen in garden
Response:  C) A Plane cannot ever beene seen iin gardens because they do not exist within"
0," Once a pipe bursts, call a doctor.
Options:
A. Plumbers need to be trained.
B. plumbers fix the pipes while doctors cure sick people
C. Pipes come in all different sizes.","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  Once a pipe bursts, call a doctor.
Options:
A. Plumbers need to be trained.
B. plumbers fix the pipes while doctors cure sick people
C. Pipes come in all different sizes.
Response:  The correct answer would C - 'Pipes comes in various dimensions'. This response goes up against typical"
0," Nobody hates paying taxes
Options:
A. Not everybody needs to pay the tax
B. Taxes eliminate a great amount of our income and nobody wants to pay that amount that could be used for something else
C. Nobody, taxes and everyone are English words","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  Nobody hates paying taxes
Options:
A. Not everybody needs to pay the tax
B. Taxes eliminate a great amount of our income and nobody wants to pay that amount that could be used for something else
C. Nobody, taxes and everyone are English words
Response:  B -Taxes Eliminate A Great Amount Of Our Income And No One W"
0," all whales are small
Options:
A. whales are actually mammals
B. whales come in different sizes but almost all are very big
C. whale becomes whale fall after dead and feeds lots of small animals","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  all whales are small
Options:
A. whales are actually mammals
B. whales come in different sizes but almost all are very big
C. whale becomes whale fall after dead and feeds lots of small animals
Response:  B - Whales do not grow to be extremely large, although they can reach enormous proportions"
0," the boat enjoyed rolling in the mud
Options:
A. mud is a mix of water and dirt
B. boats do not have emotions
C. boats can float on the water","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  the boat enjoyed rolling in the mud
Options:
A. mud is a mix of water and dirt
B. boats do not have emotions
C. boats can float on the water
Response:  B - Boats cannot enjoy anything as they are just machines, so option (b) that states"
0," Barbies are the horrible desire for kids
Options:
A. the most horrible thing for the baby is that her barbies were lost
B. some kids do not like barbies
C. There is nothing wrong with kids desiring dolls as toys","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  Barbies are the horrible desire for kids
Options:
A. the most horrible thing for the baby is that her barbies were lost
B. some kids do not like barbies
C. There is nothing wrong with kids desiring dolls as toys
Response:  C) there's no problem in children wanting playthings such as Barbie"
0," The window looks out her
Options:
A. She is wearing clothes and the window is clear
B. Eyes belong to people, not windows
C. Windows doesn't look at people","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  The window looks out her
Options:
A. She is wearing clothes and the window is clear
B. Eyes belong to people, not windows
C. Windows doesn't look at people
Response:  C)Windows don’t look at People"
0," crack addicts are addicted to chocolate milk
Options:
A. chocolate milk is delicious to drink on hot
B. you cannot inject chocolate milk
C. chocolate milk is not addictive","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  crack addicts are addicted to chocolate milk
Options:
A. chocolate milk is delicious to drink on hot
B. you cannot inject chocolate milk
C. chocolate milk is not addictive
Response:  C) Chocolate Milk Is Not Additive"
0," the generator was able to power the continent
Options:
A. the continent need far more power than a generator can produce
B. the generator can produce 10 kilowatts of power
C. the generator is much smaller than the continent","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  the generator was able to power the continent
Options:
A. the continent need far more power than a generator can produce
B. the generator can produce 10 kilowatts of power
C. the generator is much smaller than the continent
Response:  A) The continents require significantly greater energy output from various sources, including renewable and non-"
0," Toads are not made of wood
Options:
A. trees can be made for wood
B. a witch can't eat wood
C. a witch is flesh and bones","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  Toads are not made of wood
Options:
A. trees can be made for wood
B. a witch can't eat wood
C. a witch is flesh and bones
Response:  C) A toad cannot possibly be composed entirely out of anything other than living tissue, including"
0," She went to the grocery store to get an aneurysm.
Options:
A. An aneurysm is a medical condition.
B. Aneurysms aren't in season.
C. Aneurysms need to be special orders.","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  She went to the grocery store to get an aneurysm.
Options:
A. An aneurysm is a medical condition.
B. Aneurysms aren't in season.
C. Aneurysms need to be special orders.
Response:  C) A neurasm needs to be specially ordered"
0," He pulled the water over his head when he got into bed.
Options:
A. people put covers not water on the bed
B. Water would make people wet and covers would make people dry.
C. Nobody can sleep in the water","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  He pulled the water over his head when he got into bed.
Options:
A. people put covers not water on the bed
B. Water would make people wet and covers would make people dry.
C. Nobody can sleep in the water
Response:  B"
0," She is hypnotizing a book.
Options:
A. Books are inanimate objects.
B. Books contain much information.
C. Bestsellers of books are very popular.","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  She is hypnotizing a book.
Options:
A. Books are inanimate objects.
B. Books contain much information.
C. Bestsellers of books are very popular.
Response:  B -Books Contain Much Information- This option goes Against Common Sense because it implies"
0," Roberts' room is sleeping
Options:
A. A room cannot close his eyes, because he has no eyes, so he can't sleep.
B. Robert won't let the room sleep because he needs to sleep in it first.
C. Robert can sleep in his room","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  Roberts' room is sleeping
Options:
A. A room cannot close his eyes, because he has no eyes, so he can't sleep.
B. Robert won't let the room sleep because he needs to sleep in it first.
C. Robert can sleep in his room
Response:  C"
0," Birds like to stay in the same location all year long.
Options:
A. Birds change their habitats depending on the local temperature
B. Cold weather is inconvenient for the bird to survive
C. All year long he is chasing that bird","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  Birds like to stay in the same location all year long.
Options:
A. Birds change their habitats depending on the local temperature
B. Cold weather is inconvenient for the bird to survive
C. All year long he is chasing that bird
Response:  A"
0," The boy ate a basketball
Options:
A. Basketballs are high in rubber
B. You cannot eat a basketball
C. Basketballs are round","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  The boy ate a basketball
Options:
A. Basketballs are high in rubber
B. You cannot eat a basketball
C. Basketballs are round
Response:  B -You cannot eat a ball"
0," He put a pig into the pan
Options:
A. pigs are usually pink while pans are usually silver
B. a pig is much bigger than a pan
C. pigs cannot use a pan","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  He put a pig into the pan
Options:
A. pigs are usually pink while pans are usually silver
B. a pig is much bigger than a pan
C. pigs cannot use a pan
Response:  C) Pigs cannot use a pan"
0," waiting in line is for patient people
Options:
A. Something you find at an internet cafe is a customer
B. Some games have more precise rules than others
C. waiting in line is to avoid crowd","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  waiting in line is for patient people
Options:
A. Something you find at an internet cafe is a customer
B. Some games have more precise rules than others
C. waiting in line is to avoid crowd
Response:  C) Waiting In Line Is To Avoid Crowd - This answer choice goes Against Common"
0," humans never go to sleep
Options:
A. people who do not sleep for a long time will die
B. humans mostly go to sleep at night
C. sleep help you recover and gain energy","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  humans never go to sleep
Options:
A. people who do not sleep for a long time will die
B. humans mostly go to sleep at night
C. sleep help you recover and gain energy
Response:  B - Humans most likely go to Sleep At Night"
0," I can have a haircut at the pharmacy
Options:
A. Hair can be cut at the hairdresser or barber
B. hairdressers and pharmacists both earn money
C. I always like my new style of haircut","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  I can have a haircut at the pharmacy
Options:
A. Hair can be cut at the hairdresser or barber
B. hairdressers and pharmacists both earn money
C. I always like my new style of haircut
Response:  A"
0," There are four years each season.
Options:
A. different seasons have different temperatures
B. a year can be dived into four seasons
C. a season is shorter than a year","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  There are four years each season.
Options:
A. different seasons have different temperatures
B. a year can be dived into four seasons
C. a season is shorter than a year
Response:  B - A yr could b divided in to fours periods"
0," The giraffe is riding the bicycle.
Options:
A. giraffes have long legs and necks.
B. Giraffes are are incapable of human behavior
C. Giraffes are living creatures.","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  The giraffe is riding the bicycle.
Options:
A. giraffes have long legs and necks.
B. Giraffes are are incapable of human behavior
C. Giraffes are living creatures.
Response:  C) Giraffes are Living Creature"
0," I put on my sunglasses because it was an overcast day.
Options:
A. The sun shines bright in August.
B. Sunglasses aren't needed on overcast days.
C. Overcast days are dreary.","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  I put on my sunglasses because it was an overcast day.
Options:
A. The sun shines bright in August.
B. Sunglasses aren't needed on overcast days.
C. Overcast days are dreary.
Response:  B - It makes logical and practical sens, as wearing sunnies when its cloudy outside"
0," Kim is dating the garbage.
Options:
A. Relationships take a lot of work.
B. People don't have relationships with garbage.
C. Garbage goes in a garbage can.","Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
Statement:  Kim is dating the garbage.
Options:
A. Relationships take a lot of work.
B. People don't have relationships with garbage.
C. Garbage goes in a garbage can.
Response:  B - people do not typically go on dates, form romantic connections and/or engage in"
